Category,Description
Document_Writing,Request a report to the clerk from SPD describing how SPD ensures the authenticity of recordings and accurate identifications of individuals in audio recordings. | Require SPD to report on the equity assessment or on the metrics that they're using and to include it in their annual equity assessment.
Document_Writing,Affix the chair's signature to the passage of the bill. | Affix the chair's signature to the resolution on behalf of the chair.
Meeting_Planning,Prepare for the next council meeting on May 24th.
Document_Writing,Consider potential resolutions for the council to formally comment on the recent Supreme Court decision.
Meeting_Planning,Prepare for discussion with council colleagues regarding the aforementioned resolutions over the next week. | Schedule the next regularly scheduled city council meeting for May 10th at 2 p.m.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Affix the chair's signature to Resolution 32053.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Affix the chair's signature to the resolution. | Affix the chair's signature to the passage of the bill.
Document_Writing,"Execute a memorandum of agreement between the City of Seattle, the first Indian tribe and the National Park Service for the transfer of ownership and curation of artifacts."
Document_Writing,Draft a resolution in support of abortion rights and other reproductive rights.
Meeting_Planning,Organize and prepare for the protests scheduled this Friday and Saturday.
Administrative_Communication,Send out communications to encourage Seattleites to participate in upcoming protests. | Coordinate with public health and other organizations regarding resources for abortion access. | Consider discussions on budget allocation towards abortion access programs.
Document_Writing,Sign the passed Council Bill 120282.
Administrative_Communication,Affix the chair's signature to the legislation on their behalf.
Document_Writing,Affix the chair's signature to the legislation or ordinance.
Document_Writing,Prepare the legislation to expand Indigenous People's Day to non-represented city employees and establish a parking holiday.
Administrative_Communication,Transmit separate budget legislation to appropriate funding for the direct costs associated with the new holidays.
Document_Writing,Affix the chair's signature to the resolution. | Affix the chair's signature to the bill. | Amend appointment 2112 by substituting version two for version one of the appointment packet.
Meeting_Planning,"Postpone appointments 2111 and 2146 until May 10th, 2022."
Administrative_Communication,Request to be excused from the council briefing on April 11th and the full council on April 12th. | Request to be excused from council briefings on May 2nd and May 16th. | Request to be excused from council briefing on April 11th.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Finalize the regulations for outdoor dining permits.
Administrative_Communication,"Prepare the legislation to extend the free outdoor dining permits until January 31st, 2023."
Document_Writing,Prepare a report on a potential citywide bonus program due on March 1st.
Administrative_Communication,Send communication to relevant parties regarding the retroactive approval for bonuses for police officers and dispatchers.
Document_Writing,Fix the signature to the legislation.
Administrative_Communication,Send recommendations to the Green New Deal Oversight Board regarding the heating oil tax.
Document_Writing,"Amend Council Bill 120275 Exhibit B by substituting the executed property use and development agreement. | Prepare the resolution for item number six, Resolution 32045, adopting statements of legislative intent for the 2022 adopted budget and 2023-2027."
Administrative_Communication,Fix the chair's signature to the legislation on their behalf.
Document_Writing,Sign the legislation on behalf of the chair.
Meeting_Planning,Prepare for the next regularly scheduled meeting on February 1st at 2:00.
Document_Writing,Affix the chair's signature to the legislation.
Document_Writing,Draft the amendments for Council Bill 120119 to establish a new date for ending hazard pay requirements.
